bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11003545;Hagedorn;Bettina;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Bettina Hagedorn;NA;person;NA;;
11004287;Hagl-Kehl;Rita;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Rita Hagl-Kehl;RitaHaglKehl;person;1;;
11004048;Hahn;Florian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Florian Hahn;hahnflo;person;1;;
11004288;Hahn;André;20;Fraktion DIE LINKE.;André Hahn;NA;person;NA;;
11004289;Hakverdi;Metin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Metin Hakverdi;MetinHakverdi;person;1;;
11004952;Hanke;Reginald;20;Fraktion der Freien Demokratischen Partei;Reginald Hanke;NA;person;NA;;
11004736;Harder-Kühnel;Mariana Iris;20;Alternative für Deutschland;Mariana Iris Harder-Kühnel;M_HarderKuehnel;person;1;;
11004050;Hardt;Jürgen;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Jürgen Hardt;juergenhardt;person;1;;
11005075;Hartewig;Philipp;20;Fraktion der Freien Demokratischen Partei;Philipp Hartewig;philipphartewig;person;1;;
11004291;Hartmann;Sebastian;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Sebastian Hartmann;sebast_hartmann;person;1;;
11005076;Harzer;Ulrike;20;Fraktion der Freien Demokratischen Partei;Ulrike Harzer;HarzerUlrike;person;1;;
