Id;Fraktion
HalakMuhanad;Fraktion der Freien Demokratischen Partei
DagmarAndres;Fraktion der Sozialdemokratischen Partei Deutschlands
arlt_johannes;Fraktion der Sozialdemokratischen Partei Deutschlands
AnAudretsch;Fraktion BÜNDNIS 90/DIE GRÜNEN
maik_aussendorf;Fraktion BÜNDNIS 90/DIE GRÜNEN
TBBacherle;Fraktion BÜNDNIS 90/DIE GRÜNEN
baldy_daniel;Fraktion der Sozialdemokratischen Partei Deutschlands
fbanaszak;Fraktion BÜNDNIS 90/DIE GRÜNEN
karlbaer;Fraktion BÜNDNIS 90/DIE GRÜNEN
DrChristinaBaum;Alternative für Deutschland
kathabeck;Fraktion BÜNDNIS 90/DIE GRÜNEN
RogerBeckamp;Alternative für Deutschland
LukasBenner_;Fraktion BÜNDNIS 90/DIE GRÜNEN
BengtBergt;Fraktion der Sozialdemokratischen Partei Deutschlands
JakobBla;Fraktion der Sozialdemokratischen Partei Deutschlands
IngoBodtke;Fraktion der Freien Demokratischen Partei
f_boginski;Fraktion der Freien Demokratischen Partei
m_breilmann;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
therealmarlonb1;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
FBsirske;Fraktion BÜNDNIS 90/DIE GRÜNEN
YannickBury;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
isacademartori;Fraktion der Sozialdemokratischen Partei Deutschlands
MarioCzaja;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
HakanDemirNK;Fraktion der Sozialdemokratischen Partei Deutschlands
detzer_sandra;Fraktion BÜNDNIS 90/DIE GRÜNEN
MDiedenhofen;Fraktion der Sozialdemokratischen Partei Deutschlands
JanUlrichDieren;Fraktion der Sozialdemokratischen Partei Deutschlands
ThomasDietz_MdB;Alternative für Deutschland
DeborahDuering;Fraktion BÜNDNIS 90/DIE GRÜNEN
Leckert_;Fraktion BÜNDNIS 90/DIE GRÜNEN
sonjaeichwede;Fraktion der Sozialdemokratischen Partei Deutschlands
HERavensburg;Fraktion der Sozialdemokratischen Partei Deutschlands
robert_farle;Alternative für Deutschland
ArianeFaescher;Fraktion der Sozialdemokratischen Partei Deutschlands
emiliafester;Fraktion BÜNDNIS 90/DIE GRÜNEN
fiedelseb;Fraktion der Sozialdemokratischen Partei Deutschlands
funke_fabian;Fraktion der Sozialdemokratischen Partei Deutschlands
max_fksr;Fraktion der Freien Demokratischen Partei
schahinag;Fraktion BÜNDNIS 90/DIE GRÜNEN
GansGruen;Fraktion BÜNDNIS 90/DIE GRÜNEN
MartinGassner;Fraktion der Freien Demokratischen Partei
GeisslerJonas;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
JN_Gesenhues;Fraktion BÜNDNIS 90/DIE GRÜNEN
Hannes_Gnauck;Alternative für Deutschland
goerke_c;Fraktion DIE LINKE.
FabianGramling;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
inge_graessle;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
ArminGrau;Fraktion BÜNDNIS 90/DIE GRÜNEN
S_Gruetzmacher;Fraktion BÜNDNIS 90/DIE GRÜNEN
SerapGueler;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
AtesGuerpinar;Fraktion DIE LINKE.
